dataset,subject,question_id,model_type,stage,cache_name,layer_idx,entropy_raw,entropy_normalized,logit_lens_temperature,vocab_size,kl_prev_layer,kl_vector_align
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,3,nan,nan,1.0,0,0.9946671724319458,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,4,nan,nan,1.0,0,1.347244143486023,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,5,nan,nan,1.0,0,1.358718991279602,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,6,nan,nan,1.0,0,1.2044427394866943,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,7,nan,nan,1.0,0,0.9064690470695496,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,8,nan,nan,1.0,0,1.0920841693878174,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,9,nan,nan,1.0,0,1.0253920555114746,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,10,nan,nan,1.0,0,1.1374845504760742,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,11,nan,nan,1.0,0,1.168587327003479,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,12,nan,nan,1.0,0,1.0078225135803223,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,13,nan,nan,1.0,0,0.8769792914390564,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,14,nan,nan,1.0,0,0.9732514023780823,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,15,nan,nan,1.0,0,0.9752541780471802,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,16,nan,nan,1.0,0,0.8879139423370361,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,17,nan,nan,1.0,0,0.8541821837425232,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,18,nan,nan,1.0,0,0.8015724420547485,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,19,nan,nan,1.0,0,0.8246529698371887,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,20,nan,nan,1.0,0,0.8195481896400452,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,21,nan,nan,1.0,0,0.7918561697006226,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,22,nan,nan,1.0,0,0.8790188431739807,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,23,nan,nan,1.0,0,0.8717591762542725,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,24,nan,nan,1.0,0,0.8015872836112976,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,25,nan,nan,1.0,0,0.8272215723991394,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,26,nan,nan,1.0,0,0.8565795421600342,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,27,nan,nan,1.0,0,0.8362026214599609,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,28,nan,nan,1.0,0,0.8427603244781494,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,29,nan,nan,1.0,0,0.8682805299758911,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,30,nan,nan,1.0,0,0.8183203339576721,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,31,nan,nan,1.0,0,0.9285441040992737,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,32,nan,nan,1.0,0,0.9153240323066711,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,33,nan,nan,1.0,0,0.8861196637153625,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,34,nan,nan,1.0,0,0.8731167316436768,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,fused,35,nan,nan,1.0,0,1.2150421142578125,last
ai2-arc,SPLIT_0_OF_1,2,rosetta,prefill,receiver,0,nan,nan,1.0,0,nan,last
ai2-arc,SPLIT_0_OF_1,2,rosetta,prefill,receiver,1,nan,nan,1.0,0,2.1378097534179688,last
ai2-arc,SPLIT_0_OF_1,2,rosetta,prefill,receiver,2,nan,nan,1.0,0,1.1354060173034668,last
ai2-arc,SPLIT_0_OF_1,2,rosetta,prefill,receiver,3,nan,nan,1.0,0,1.0138471126556396,last
